date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:57	47375/47375	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:57%20GMT	https://unrr.cz/narodni-rozpoctova-rada-v-mediich/	unrr.cz/narodni-rozpoctova-rada-v-mediich/index.html	(from https://unrr.cz/)
16:38:58	26309/26309	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:58%20GMT	https://unrr.cz/pro-media-2/	unrr.cz/pro-media-2/index.html	(from https://unrr.cz/)
16:38:58	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:38:58%20GMT	https://unrr.cz/wp-block-library.css	unrr.cz/wp-block-library.css	(from https://unrr.cz/)
16:38:59	29497/29497	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:38:59%20GMT	https://unrr.cz/prezentace-a-vystoupeni-clenu-nrr/	unrr.cz/prezentace-a-vystoupeni-clenu-nrr/index.html	(from https://unrr.cz/)
16:39:01	30600/30600	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:00%20GMT	https://unrr.cz/tiskove-zpravy/	unrr.cz/tiskove-zpravy/index.html	(from https://unrr.cz/)
16:39:01	30261/30261	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:00%20GMT	https://unrr.cz/druhe-ctvrtleti-prineslo-historicky-nejvetsi-pokles-ceske-ekonomiky-hdp-se-propadl-o-temer-11/	unrr.cz/druhe-ctvrtleti-prineslo-historicky-nejvetsi-pokles-ceske-ekonomiky-hdp-se-propadl-o-temer-11/index.html	(from https://unrr.cz/)
16:39:01	29327/29327	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:01%20GMT	https://unrr.cz/kontakty/	unrr.cz/kontakty/index.html	(from https://unrr.cz/)
16:39:01	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:01%20GMT	https://unrr.cz/cookie-notice-front.css	unrr.cz/cookie-notice-front.css	(from https://unrr.cz/)
16:39:02	30609/30609	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:02%20GMT	https://unrr.cz/verejne-vydaje-na-skolstvi-porostou-i-pres-pokles-poctu-zaku-ukazala-nova-studie-unrr/	unrr.cz/verejne-vydaje-na-skolstvi-porostou-i-pres-pokles-poctu-zaku-ukazala-nova-studie-unrr/index.html	(from https://unrr.cz/)
16:39:03	32908/32908	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:03%20GMT	https://unrr.cz/pandemie-covid-19-umocnila-problem-dlouhodobe-neudrzitelnosti-ceskych-verejnych-financi-cas-na-hledani-reseni-se-zkratil/	unrr.cz/pandemie-covid-19-umocnila-problem-dlouhodobe-neudrzitelnosti-ceskych-verejnych-financi-cas-na-hledani-reseni-se-zkratil/index.html	(from https://unrr.cz/)
16:39:04	30010/30010	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:03%20GMT	https://unrr.cz/poslanci-schvalili-zvyseni-schodku-statniho-rozpoctu-na-pul-bilionu-korun/	unrr.cz/poslanci-schvalili-zvyseni-schodku-statniho-rozpoctu-na-pul-bilionu-korun/index.html	(from https://unrr.cz/)
16:39:04	30271/30271	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:04%20GMT	https://unrr.cz/nrr-povazuje-navrh-na-dalsi-zvyseni-rozpoctoveho-deficitu-za-predcasny-nadmerny-a-neopodstatneny/	unrr.cz/nrr-povazuje-navrh-na-dalsi-zvyseni-rozpoctoveho-deficitu-za-predcasny-nadmerny-a-neopodstatneny/index.html	(from https://unrr.cz/)
16:39:05	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:05%20GMT	https://unrr.cz/rotatingtweets.css	unrr.cz/rotatingtweets.css	(from https://unrr.cz/)
16:39:06	34405/34405	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:05%20GMT	https://unrr.cz/stat-by-mel-obcim-a-krajum-kompenzovat-vypadek-prijmu-uvadi-nrr-ve-svem-novem-stanovisku/	unrr.cz/stat-by-mel-obcim-a-krajum-kompenzovat-vypadek-prijmu-uvadi-nrr-ve-svem-novem-stanovisku/index.html	(from https://unrr.cz/)
16:39:06	30094/30094	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:06%20GMT	https://unrr.cz/aktuality/	unrr.cz/aktuality/index.html	(from https://unrr.cz/)
16:39:07	28663/28663	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:07%20GMT	https://unrr.cz/kalendar/	unrr.cz/kalendar/index.html	(from https://unrr.cz/)
16:39:07	31978/31978	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:07%20GMT	https://unrr.cz/povinne-zverejnovane-informace/	unrr.cz/povinne-zverejnovane-informace/index.html	(from https://unrr.cz/)
16:39:08	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:08%20GMT	https://unrr.cz/orbisius_ct_itideas_child_theme_parent_style.css	unrr.cz/orbisius_ct_itideas_child_theme_parent_style.css	(from https://unrr.cz/)
16:39:09	26958/26958	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:09%20GMT	https://unrr.cz/vyhlaska-o-pristupnosti/	unrr.cz/vyhlaska-o-pristupnosti/index.html	(from https://unrr.cz/)
16:39:10	24659/24659	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:39:09%20GMT	https://unrr.cz/zpracovani-osobnich-udaju/	unrr.cz/zpracovani-osobnich-udaju/index.html	(from https://unrr.cz/)
16:39:11	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:10%20GMT	https://unrr.cz/orbisius_ct_itideas_child_theme_parent_style_child_style.css	unrr.cz/orbisius_ct_itideas_child_theme_parent_style_child_style.css	(from https://unrr.cz/)
16:39:12	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:12%20GMT	https://unrr.cz/cherry-google-fonts-itideas.css	unrr.cz/cherry-google-fonts-itideas.css	(from https://unrr.cz/)
16:39:14	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:14%20GMT	https://unrr.cz/linearicons.css	unrr.cz/linearicons.css	(from https://unrr.cz/)
16:39:15	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:15%20GMT	https://unrr.cz/tm-builder-swiper.css	unrr.cz/tm-builder-swiper.css	(from https://unrr.cz/)
16:39:17	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:17%20GMT	https://unrr.cz/tm-builder-modules-grid.css	unrr.cz/tm-builder-modules-grid.css	(from https://unrr.cz/)
16:39:18	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:18%20GMT	https://unrr.cz/tm-builder-modules-style.css	unrr.cz/tm-builder-modules-style.css	(from https://unrr.cz/)
16:39:21	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:21%20GMT	https://unrr.cz/magnific-popup.css	unrr.cz/magnific-popup.css	(from https://unrr.cz/)
16:39:23	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:22%20GMT	https://unrr.cz/font-awesome.css	unrr.cz/font-awesome.css	(from https://unrr.cz/)
16:39:24	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:24%20GMT	https://unrr.cz/tm-builder-modules-global-functions-script.js	unrr.cz/tm-builder-modules-global-functions-script.js	(from https://unrr.cz/)
16:39:26	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:26%20GMT	https://unrr.cz/jquery-swiper.js	unrr.cz/jquery-swiper.js	(from https://unrr.cz/)
16:39:27	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:27%20GMT	https://unrr.cz/cookie-notice-front.js	unrr.cz/cookie-notice-front.js	(from https://unrr.cz/)
16:39:29	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:29%20GMT	https://unrr.cz/cherry-post-formats.js	unrr.cz/cherry-post-formats.js	(from https://unrr.cz/)
16:39:30	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:30%20GMT	https://unrr.cz/google-maps-api.js	unrr.cz/google-maps-api.js	(from https://unrr.cz/)
16:39:32	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:32%20GMT	https://unrr.cz/divi-fitvids.js	unrr.cz/divi-fitvids.js	(from https://unrr.cz/)
16:39:34	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:33%20GMT	https://unrr.cz/waypoints.js	unrr.cz/waypoints.js	(from https://unrr.cz/)
16:39:35	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:35%20GMT	https://unrr.cz/magnific-popup.js	unrr.cz/magnific-popup.js	(from https://unrr.cz/)
16:39:37	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:37%20GMT	https://unrr.cz/tm-jquery-touch-mobile.js	unrr.cz/tm-jquery-touch-mobile.js	(from https://unrr.cz/)
16:39:38	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:38%20GMT	https://unrr.cz/tm-builder-frontend-closest-descendent.js	unrr.cz/tm-builder-frontend-closest-descendent.js	(from https://unrr.cz/)
16:39:40	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:40%20GMT	https://unrr.cz/tm-builder-frontend-reverse.js	unrr.cz/tm-builder-frontend-reverse.js	(from https://unrr.cz/)
16:39:41	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:41%20GMT	https://unrr.cz/tm-builder-frontend-simple-carousel.js	unrr.cz/tm-builder-frontend-simple-carousel.js	(from https://unrr.cz/)
16:39:43	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:43%20GMT	https://unrr.cz/tm-builder-frontend-simple-slider.js	unrr.cz/tm-builder-frontend-simple-slider.js	(from https://unrr.cz/)
16:39:45	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:44%20GMT	https://unrr.cz/tm-builder-frontend-easy-pie-chart.js	unrr.cz/tm-builder-frontend-easy-pie-chart.js	(from https://unrr.cz/)
16:39:46	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:46%20GMT	https://unrr.cz/tm-builder-frontend-tm-hash.js	unrr.cz/tm-builder-frontend-tm-hash.js	(from https://unrr.cz/)
16:39:48	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:48%20GMT	https://unrr.cz/tm-builder-modules-script.js	unrr.cz/tm-builder-modules-script.js	(from https://unrr.cz/)
16:39:49	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:49%20GMT	https://unrr.cz/tm-builder-swiper.js	unrr.cz/tm-builder-swiper.js	(from https://unrr.cz/)
16:39:51	22552/22552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:51%20GMT	https://unrr.cz/fittext.js	unrr.cz/fittext.js	(from https://unrr.cz/)
16:39:58	205060/205060	---M--	200	added ('OK')	application/pdf	etag:%2232104-5a6b10e40eb63%22	https://unrr.cz/wp-content/uploads/2020/05/Z%c3%a1sady-pou%c5%be%c3%adv%c3%a1n%c3%ad-cookies_%c3%9aNRR.pdf	unrr.cz/wp-content/uploads/2020/05/Z%c3%a1sady-pou%c5%be%c3%adv%c3%a1n%c3%ad-cookies_%c3%9aNRR.pdf	(from https://unrr.cz/)
16:40:04	22517/22517	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:39:57%20GMT	http://unrr.cz/wp-content/plugins/power-builder/framework/assets/css/images/preloader.gif	unrr.cz/wp-content/plugins/power-builder/framework/assets/css/images/preloader.38.delayed	(from https://unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css)
16:40:12	450294/450294	---MCZ	200	added ('OK')	application/javascript	etag:%226def6-5ab02b8715aeb-gzip%22	https://unrr.cz/wp-content/cache/autoptimize/js/autoptimize_11e24d22ef140f9d2c6b8d77f15fe7eb.js	unrr.cz/wp-content/cache/autoptimize/js/autoptimize_11e24d22ef140f9d2c6b8d77f15fe7eb.js	(from https://unrr.cz/)
16:40:18	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-56b3894130b59%22	http://unrr.cz/wp-content/themes/itideas/assets/fonts/fontawesome-webfont.eot?v=4.6.3	unrr.cz/wp-content/themes/itideas/assets/fonts/fontawesome-webfont5b62.eot	(from https://unrr.cz/wp-content/cache/autoptimize/css/autoptimize_6009a6339a50d3456a3c5c5e869a670e.css)
