date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:44	26299/26299	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:25:43%20GMT	https://unrr.cz/en/deficit-of-the-czech-public-finance-to-reach-more-than-czk-300-billion-in-2020/	unrr.cz/en/deficit-of-the-czech-public-finance-to-reach-more-than-czk-300-billion-in-2020/index.html	(from https://unrr.cz/en/)
16:25:44	28544/28544	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2014:25:44%20GMT	https://unrr.cz/en/mandatory-published-information/	unrr.cz/en/mandatory-published-information/index.html	(from https://unrr.cz/en/)
16:25:45	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:45%20GMT	https://unrr.cz/en/orbisius_ct_itideas_child_theme_parent_style.css	unrr.cz/en/orbisius_ct_itideas_child_theme_parent_style.css	(from https://unrr.cz/en/)
16:25:47	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:46%20GMT	https://unrr.cz/en/orbisius_ct_itideas_child_theme_parent_style_child_style.css	unrr.cz/en/orbisius_ct_itideas_child_theme_parent_style_child_style.css	(from https://unrr.cz/en/)
16:25:48	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:48%20GMT	https://unrr.cz/en/cherry-google-fonts-itideas.css	unrr.cz/en/cherry-google-fonts-itideas.css	(from https://unrr.cz/en/)
16:25:50	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:50%20GMT	https://unrr.cz/en/linearicons.css	unrr.cz/en/linearicons.css	(from https://unrr.cz/en/)
16:25:52	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:51%20GMT	https://unrr.cz/en/tm-builder-swiper.css	unrr.cz/en/tm-builder-swiper.css	(from https://unrr.cz/en/)
16:25:54	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:53%20GMT	https://unrr.cz/en/tm-builder-modules-grid.css	unrr.cz/en/tm-builder-modules-grid.css	(from https://unrr.cz/en/)
16:25:55	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:55%20GMT	https://unrr.cz/en/tm-builder-modules-style.css	unrr.cz/en/tm-builder-modules-style.css	(from https://unrr.cz/en/)
16:25:57	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:57%20GMT	https://unrr.cz/en/magnific-popup.css	unrr.cz/en/magnific-popup.css	(from https://unrr.cz/en/)
16:25:58	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:25:58%20GMT	https://unrr.cz/en/font-awesome.css	unrr.cz/en/font-awesome.css	(from https://unrr.cz/en/)
16:26:00	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:00%20GMT	https://unrr.cz/en/tm-builder-modules-global-functions-script.js	unrr.cz/en/tm-builder-modules-global-functions-script.js	(from https://unrr.cz/en/)
16:26:02	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:02%20GMT	https://unrr.cz/en/jquery-swiper.js	unrr.cz/en/jquery-swiper.js	(from https://unrr.cz/en/)
16:26:04	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:04%20GMT	https://unrr.cz/en/cookie-notice-front.js	unrr.cz/en/cookie-notice-front.js	(from https://unrr.cz/en/)
16:26:06	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:06%20GMT	https://unrr.cz/en/cherry-post-formats.js	unrr.cz/en/cherry-post-formats.js	(from https://unrr.cz/en/)
16:26:08	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:08%20GMT	https://unrr.cz/en/google-maps-api.js	unrr.cz/en/google-maps-api.js	(from https://unrr.cz/en/)
16:26:10	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:10%20GMT	https://unrr.cz/en/divi-fitvids.js	unrr.cz/en/divi-fitvids.js	(from https://unrr.cz/en/)
16:26:12	19514/19514	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Aug%202020%2014:26:11%20GMT	https://unrr.cz/en/waypoints.js	unrr.cz/en/waypoints.js	(from https://unrr.cz/en/)
